requestId,source,destination,category,urgency,timeSubmitted,deadline,status
126,Great Hall,Maintenance Depot,maintenance_electrical,4,2024-01-31 17:15,2024-01-31 19:39,completed
127,Engineering Block,Maintenance Depot,maintenance_structural,4,2024-02-11 16:35,2024-02-11 17:37,assigned
128,Commonwealth Hall,Engineering Block,maintenance_structural,3,2024-01-21 20:58,2024-01-22 00:43,cancelled
129,Legacy Hall,Science Block,maintenance_IT,2,2024-01-26 13:01,2024-01-26 14:08,pending
130,Balme Library,School of Engineering,maintenance_electrical,4,2024-02-06 17:13,2024-02-06 21:12,completed
131,Shuttle Stop B,Maintenance Depot,maintenance_electrical,3,2024-01-19 15:18,2024-01-19 17:23,cancelled
132,Bani Hostel,Central Cafeteria,shuttle_ride,3,2024-02-02 10:18,2024-02-02 11:26,assigned
133,Mensah Sarbah Hall,Engineering Block,maintenance_IT,3,2024-01-28 20:49,2024-01-28 22:31,completed
134,Mensah Sarbah Hall,N Block,maintenance_plumbing,2,2024-02-05 18:12,2024-02-05 20:35,pending
135,Presbyterian Hall,Shuttle Stop A,shuttle_ride,4,2024-02-12 18:06,2024-02-12 21:08,completed
136,Engineering Block,Maintenance Depot,maintenance_IT,3,2024-01-26 13:45,2024-01-26 17:16,pending
137,Great Hall,N Block,maintenance_electrical,2,2024-01-18 16:05,2024-01-18 17:56,pending
138,Science Block,N Block,maintenance_structural,4,2024-01-31 15:26,2024-01-31 16:40,cancelled
139,School of Business,Science Block,maintenance_structural,5,2024-01-25 08:06,2024-01-25 11:19,pending
140,Volta Hall,Engineering Block,maintenance_plumbing,1,2024-02-03 12:13,2024-02-03 15:11,completed
141,Great Hall,Maintenance Depot,maintenance_structural,4,2024-01-25 16:50,2024-01-25 20:03,assigned
142,Mensah Sarbah Hall,Maintenance Depot,maintenance_structural,2,2024-02-04 09:44,2024-02-04 13:17,completed
143,Commonwealth Hall,N Block,maintenance_IT,5,2024-01-30 17:03,2024-01-30 19:18,completed
144,Legacy Hall,N Block,maintenance_structural,5,2024-02-03 08:51,2024-02-03 10:27,pending
145,Volta Hall,Science Block,maintenance_plumbing,3,2024-01-29 18:08,2024-01-29 20:54,pending
146,Legacy Hall,School of Engineering,maintenance_plumbing,2,2024-02-14 07:52,2024-02-14 11:51,pending
147,Presbyterian Hall,N Block,maintenance_plumbing,5,2024-02-04 18:45,2024-02-04 21:04,cancelled
148,Jean Nelson Hall,Maintenance Depot,maintenance_structural,4,2024-02-06 16:16,2024-02-06 17:42,pending
149,Alexander Kwapong Hostel,Science Block,maintenance_plumbing,3,2024-02-10 08:18,2024-02-10 10:44,pending
150,Legacy Hall,N Block,maintenance_electrical,5,2024-02-07 14:27,2024-02-07 15:06,completed
151,Central Cafeteria,Engineering Block,shuttle_ride,2,2024-01-27 13:18,2024-01-27 16:01,completed
152,Jean Nelson Hall,Legacy Hall,shuttle_ride,4,2024-02-10 16:44,2024-02-10 18:23,pending
153,Jean Nelson Hall,Legon Campus Main Gate,shuttle_ride,5,2024-01-29 17:37,2024-01-29 20:35,completed
154,Central Cafeteria,Maintenance Depot,maintenance_electrical,5,2024-02-12 17:57,2024-02-12 20:33,assigned
155,Night Market,Engineering Block,maintenance_electrical,1,2024-02-12 18:10,2024-02-12 20:39,assigned
156,School of Engineering,Science Block,maintenance_electrical,3,2024-01-16 20:24,2024-01-16 22:00,pending
157,Presbyterian Hall,Engineering Block,maintenance_plumbing,1,2024-02-08 07:20,2024-02-08 09:23,pending
158,Jean Nelson Hall,Maintenance Depot,maintenance_IT,3,2024-02-01 08:48,2024-02-01 10:12,pending
159,Amafi Hostel,School of Engineering,maintenance_structural,2,2024-02-07 08:12,2024-02-07 11:51,cancelled
160,Presbyterian Hall,Central Cafeteria,shuttle_ride,1,2024-01-24 09:16,2024-01-24 11:44,assigned
161,Mizpah Hostel,Science Block,maintenance_structural,5,2024-02-01 18:18,2024-02-01 20:14,cancelled
162,Legacy Hall,Legon Campus Main Gate,shuttle_ride,4,2024-01-18 20:40,2024-01-18 22:24,pending
163,Mizpah Hostel,N Block,maintenance_structural,4,2024-02-02 20:16,2024-02-02 22:26,completed
164,Central Cafeteria,Maintenance Depot,maintenance_IT,4,2024-02-14 12:34,2024-02-14 16:33,pending
165,Legon Campus Main Gate,Engineering Block,maintenance_IT,1,2024-01-27 18:18,2024-01-27 22:14,assigned
166,Claver Robinson Hostel,Science Block,maintenance_structural,3,2024-02-07 13:57,2024-02-07 16:46,pending
167,Alexander Kwapong Hostel,Maintenance Depot,maintenance_electrical,5,2024-02-08 15:34,2024-02-08 16:10,assigned
168,Legon Hall,Maintenance Depot,maintenance_plumbing,3,2024-01-29 07:32,2024-01-29 09:04,completed
169,Legon Campus Main Gate,Jean Nelson Hall,shuttle_ride,4,2024-02-04 11:36,2024-02-04 15:21,assigned
170,School of Business,Maintenance Depot,maintenance_IT,1,2024-02-14 16:35,2024-02-14 20:21,pending
171,Shuttle Stop C,Science Block,maintenance_IT,1,2024-01-31 08:57,2024-01-31 11:57,pending
172,Bani Hostel,Science Block,maintenance_plumbing,4,2024-02-11 07:38,2024-02-11 09:50,cancelled
173,Great Hall,Maintenance Depot,maintenance_electrical,1,2024-01-29 17:46,2024-01-29 19:35,completed
174,Shuttle Stop B,Maintenance Depot,maintenance_IT,3,2024-01-26 18:42,2024-01-26 20:24,completed
175,Science Block,Science Block,maintenance_plumbing,3,2024-02-05 19:18,2024-02-05 22:50,completed
176,Night Market,School of Engineering,maintenance_structural,4,2024-02-14 10:15,2024-02-14 14:01,completed
177,Commonwealth Hall,Legon Campus Main Gate,shuttle_ride,4,2024-02-07 20:36,2024-02-07 21:34,assigned
178,Volta Hall,Maintenance Depot,maintenance_plumbing,3,2024-02-09 13:04,2024-02-09 15:00,pending
179,Mizpah Hostel,Shuttle Stop C,shuttle_ride,5,2024-02-13 09:04,2024-02-13 12:34,completed
180,Legon Hall,Maintenance Depot,maintenance_IT,5,2024-01-26 13:30,2024-01-26 14:16,completed
181,N Block,N Block,maintenance_electrical,5,2024-02-05 17:20,2024-02-05 19:33,cancelled
182,Commonwealth Hall,Night Market,shuttle_ride,4,2024-01-15 20:46,2024-01-15 22:33,pending
183,Mensah Sarbah Hall,Maintenance Depot,maintenance_structural,3,2024-01-17 12:46,2024-01-17 14:16,completed
184,Great Hall,Maintenance Depot,maintenance_structural,5,2024-02-02 11:43,2024-02-02 13:05,completed
185,Mensah Sarbah Hall,Maintenance Depot,maintenance_IT,4,2024-02-11 10:28,2024-02-11 13:19,pending
186,Legacy Hall,Science Block,maintenance_structural,4,2024-02-12 09:04,2024-02-12 10:06,pending
187,Bani Hostel,Maintenance Depot,maintenance_structural,1,2024-02-11 20:40,2024-02-11 23:28,assigned
188,Bani Hostel,Maintenance Depot,maintenance_electrical,4,2024-01-18 20:33,2024-01-18 23:42,pending
189,Legacy Hall,Amafi Hostel,shuttle_ride,4,2024-02-14 17:08,2024-02-14 17:57,pending
190,Mizpah Hostel,Engineering Block,maintenance_structural,4,2024-01-18 09:45,2024-01-18 12:37,pending
191,Engineering Block,Legon Campus Main Gate,shuttle_ride,2,2024-02-02 11:29,2024-02-02 13:24,pending
192,Commonwealth Hall,Maintenance Depot,maintenance_electrical,3,2024-02-01 10:28,2024-02-01 13:45,pending
193,School of Business,N Block,maintenance_plumbing,2,2024-02-14 19:49,2024-02-14 22:33,completed
194,Akuafo Hall,Balme Library,shuttle_ride,4,2024-02-11 18:55,2024-02-11 19:39,assigned
195,Night Market,Maintenance Depot,maintenance_plumbing,3,2024-02-14 15:57,2024-02-14 19:47,pending
196,Legon Hall,Maintenance Depot,maintenance_plumbing,5,2024-02-08 14:33,2024-02-08 16:31,pending
197,Mizpah Hostel,Maintenance Depot,maintenance_plumbing,4,2024-02-08 08:48,2024-02-08 11:42,completed
198,Legon Hall,Maintenance Depot,maintenance_plumbing,5,2024-01-28 10:39,2024-01-28 11:58,completed
199,Presbyterian Hall,N Block,maintenance_electrical,1,2024-02-03 09:07,2024-02-03 10:01,completed
200,Science Block,N Block,maintenance_structural,5,2024-01-26 14:08,2024-01-26 17:57,completed
201,Central Cafeteria,Engineering Block,maintenance_plumbing,4,2024-01-30 08:57,2024-01-30 12:24,pending
202,School of Business,Jean Nelson Hall,shuttle_ride,2,2024-01-24 08:18,2024-01-24 11:37,pending
203,Legacy Hall,Maintenance Depot,maintenance_electrical,1,2024-02-13 14:04,2024-02-13 15:30,pending
204,Alexander Kwapong Hostel,Maintenance Depot,maintenance_plumbing,1,2024-01-31 20:16,2024-02-01 00:02,completed
205,Volta Hall,Science Block,maintenance_electrical,3,2024-02-01 12:06,2024-02-01 15:31,pending
206,Legacy Hall,Maintenance Depot,maintenance_IT,2,2024-01-29 10:36,2024-01-29 13:07,cancelled
207,Legacy Hall,Shuttle Stop C,shuttle_ride,2,2024-02-12 12:36,2024-02-12 16:27,pending
208,Shuttle Stop B,Legon Hall,shuttle_ride,2,2024-02-11 07:47,2024-02-11 08:17,completed
209,Shuttle Stop A,Maintenance Depot,maintenance_electrical,4,2024-01-15 09:08,2024-01-15 11:55,pending
210,School of Engineering,N Block,maintenance_electrical,2,2024-02-13 08:22,2024-02-13 10:28,completed
211,Claver Robinson Hostel,Science Block,maintenance_plumbing,2,2024-01-22 18:07,2024-01-22 21:20,pending
212,Amafi Hostel,School of Engineering,maintenance_plumbing,4,2024-01-22 11:40,2024-01-22 15:31,pending
213,Legon Hall,Maintenance Depot,maintenance_electrical,1,2024-01-27 18:18,2024-01-27 19:32,completed
214,Jean Nelson Hall,School of Engineering,maintenance_electrical,2,2024-01-22 18:15,2024-01-22 21:46,pending
215,Legacy Hall,Maintenance Depot,maintenance_structural,2,2024-02-07 11:07,2024-02-07 14:16,completed
216,Presbyterian Hall,Engineering Block,maintenance_plumbing,3,2024-02-06 11:20,2024-02-06 14:00,completed
217,Amafi Hostel,Akuafo Hall,shuttle_ride,1,2024-01-25 07:50,2024-01-25 10:14,completed
218,Alexander Kwapong Hostel,Maintenance Depot,maintenance_IT,4,2024-01-31 14:40,2024-01-31 15:24,cancelled
219,Mizpah Hostel,Maintenance Depot,maintenance_IT,3,2024-02-04 12:28,2024-02-04 14:11,cancelled
220,Akuafo Hall,Science Block,maintenance_IT,2,2024-02-02 18:27,2024-02-02 20:58,completed
221,Shuttle Stop C,Amafi Hostel,shuttle_ride,2,2024-01-23 07:58,2024-01-23 08:45,pending
222,Great Hall,School of Business,shuttle_ride,5,2024-02-11 15:12,2024-02-11 18:17,completed
223,Shuttle Stop B,Night Market,shuttle_ride,1,2024-02-01 09:01,2024-02-01 12:30,completed
224,School of Engineering,Engineering Block,maintenance_electrical,1,2024-01-23 15:12,2024-01-23 18:25,completed
225,Great Hall,N Block,maintenance_electrical,5,2024-01-21 10:04,2024-01-21 11:05,completed
226,Night Market,N Block,maintenance_electrical,2,2024-01-28 07:37,2024-01-28 09:32,pending
227,Science Block,Science Block,maintenance_IT,2,2024-02-14 16:17,2024-02-14 19:21,pending
228,Balme Library,Engineering Block,maintenance_electrical,2,2024-01-27 10:54,2024-01-27 12:22,completed
229,School of Pharmacy,Maintenance Depot,maintenance_IT,3,2024-01-20 11:27,2024-01-20 12:20,assigned
230,Volta Hall,Science Block,maintenance_structural,4,2024-02-02 09:14,2024-02-02 10:15,completed
231,Mizpah Hostel,Maintenance Depot,maintenance_plumbing,1,2024-01-17 18:48,2024-01-17 21:27,pending
232,Legacy Hall,Science Block,maintenance_electrical,3,2024-02-14 13:07,2024-02-14 14:04,pending
233,Legacy Hall,Maintenance Depot,maintenance_IT,3,2024-01-24 13:44,2024-01-24 15:05,pending
234,Bani Hostel,Akuafo Hall,shuttle_ride,3,2024-02-11 18:30,2024-02-11 19:48,pending
235,Mensah Sarbah Hall,Maintenance Depot,maintenance_IT,3,2024-01-19 18:33,2024-01-19 21:05,pending
236,N Block,Maintenance Depot,maintenance_plumbing,3,2024-02-10 14:33,2024-02-10 17:09,cancelled
237,Volta Hall,School of Engineering,maintenance_plumbing,3,2024-02-14 11:31,2024-02-14 14:41,pending
238,Engineering Block,Maintenance Depot,maintenance_plumbing,1,2024-02-08 08:47,2024-02-08 10:50,completed
239,Bani Hostel,Science Block,maintenance_IT,5,2024-02-09 07:02,2024-02-09 09:36,cancelled
240,Mizpah Hostel,School of Engineering,maintenance_electrical,1,2024-02-14 14:33,2024-02-14 16:55,completed
241,N Block,Science Block,maintenance_IT,3,2024-01-31 09:14,2024-01-31 10:59,assigned
242,Presbyterian Hall,Engineering Block,maintenance_plumbing,2,2024-01-23 19:23,2024-01-23 21:24,completed
243,Balme Library,N Block,maintenance_plumbing,5,2024-01-20 18:39,2024-01-20 21:48,pending
244,Balme Library,Maintenance Depot,maintenance_electrical,5,2024-01-26 18:19,2024-01-26 22:00,completed
245,Alexander Kwapong Hostel,Maintenance Depot,maintenance_IT,3,2024-01-22 07:05,2024-01-22 08:36,completed
246,Legon Hall,N Block,maintenance_plumbing,5,2024-02-04 15:43,2024-02-04 19:25,completed
247,Alexander Kwapong Hostel,Volta Hall,shuttle_ride,4,2024-02-08 19:07,2024-02-08 22:56,pending
248,Presbyterian Hall,Engineering Block,maintenance_plumbing,4,2024-02-14 11:21,2024-02-14 15:04,completed
249,Commonwealth Hall,N Block,maintenance_plumbing,2,2024-02-08 19:23,2024-02-08 20:23,assigned
250,Volta Hall,Commonwealth Hall,shuttle_ride,3,2024-02-06 14:23,2024-02-06 16:30,cancelled
251,Central Cafeteria,Science Block,maintenance_plumbing,5,2024-01-24 16:55,2024-01-24 19:43,pending
252,Mensah Sarbah Hall,Science Block,maintenance_IT,1,2024-02-09 08:00,2024-02-09 09:08,completed
253,Volta Hall,Maintenance Depot,maintenance_IT,5,2024-01-17 07:24,2024-01-17 09:38,completed
254,Great Hall,Maintenance Depot,maintenance_IT,4,2024-01-29 08:16,2024-01-29 09:21,completed
255,Shuttle Stop B,Amafi Hostel,shuttle_ride,4,2024-01-22 07:48,2024-01-22 10:27,completed
256,Akuafo Hall,Maintenance Depot,maintenance_structural,3,2024-01-20 20:04,2024-01-20 21:21,completed
257,Engineering Block,N Block,maintenance_plumbing,5,2024-01-20 07:18,2024-01-20 10:57,assigned
258,Shuttle Stop B,Mizpah Hostel,shuttle_ride,2,2024-02-01 10:59,2024-02-01 13:11,pending
